Epoch 01/20 | Train Loss: 1.3236 | Train Acc: 0.5655 | Test Loss: 0.9784 | Test Acc: 0.6765
Epoch 02/20 | Train Loss: 1.0287 | Train Acc: 0.6444 | Test Loss: 0.8754 | Test Acc: 0.6996
Epoch 03/20 | Train Loss: 0.9595 | Train Acc: 0.6665 | Test Loss: 0.8366 | Test Acc: 0.7019
Epoch 04/20 | Train Loss: 0.9303 | Train Acc: 0.6737 | Test Loss: 0.8085 | Test Acc: 0.7102
Epoch 05/20 | Train Loss: 0.9089 | Train Acc: 0.6799 | Test Loss: 0.7805 | Test Acc: 0.7209
Epoch 06/20 | Train Loss: 0.8960 | Train Acc: 0.6843 | Test Loss: 0.7626 | Test Acc: 0.7261
Epoch 07/20 | Train Loss: 0.8830 | Train Acc: 0.6867 | Test Loss: 0.7498 | Test Acc: 0.7331
Epoch 08/20 | Train Loss: 0.8756 | Train Acc: 0.6885 | Test Loss: 0.7322 | Test Acc: 0.7477
Epoch 09/20 | Train Loss: 0.8719 | Train Acc: 0.6913 | Test Loss: 0.7336 | Test Acc: 0.7358
Epoch 10/20 | Train Loss: 0.8677 | Train Acc: 0.6895 | Test Loss: 0.7223 | Test Acc: 0.7413
Epoch 11/20 | Train Loss: 0.8658 | Train Acc: 0.6897 | Test Loss: 0.7126 | Test Acc: 0.7445
Epoch 12/20 | Train Loss: 0.8591 | Train Acc: 0.6915 | Test Loss: 0.7057 | Test Acc: 0.7464
Epoch 13/20 | Train Loss: 0.8519 | Train Acc: 0.6945 | Test Loss: 0.7199 | Test Acc: 0.7402
Epoch 14/20 | Train Loss: 0.8528 | Train Acc: 0.6926 | Test Loss: 0.7118 | Test Acc: 0.7429
Epoch 15/20 | Train Loss: 0.8446 | Train Acc: 0.6961 | Test Loss: 0.7153 | Test Acc: 0.7385
Epoch 16/20 | Train Loss: 0.8494 | Train Acc: 0.6929 | Test Loss: 0.6967 | Test Acc: 0.7486
Epoch 17/20 | Train Loss: 0.8463 | Train Acc: 0.6962 | Test Loss: 0.7001 | Test Acc: 0.7467
Epoch 18/20 | Train Loss: 0.8477 | Train Acc: 0.6943 | Test Loss: 0.7046 | Test Acc: 0.7437
Epoch 19/20 | Train Loss: 0.8434 | Train Acc: 0.6975 | Test Loss: 0.6906 | Test Acc: 0.7509
Epoch 20/20 | Train Loss: 0.8393 | Train Acc: 0.6964 | Test Loss: 0.6913 | Test Acc: 0.7484
