Epoch 01/20 | Train Loss: 0.1527 | Train Acc: 0.9577 | Val Loss: 0.0460 | Val Acc: 0.9867
Epoch 02/20 | Train Loss: 0.0446 | Train Acc: 0.9865 | Val Loss: 0.0382 | Val Acc: 0.9889
Epoch 03/20 | Train Loss: 0.0349 | Train Acc: 0.9892 | Val Loss: 0.0278 | Val Acc: 0.9917
Epoch 04/20 | Train Loss: 0.0304 | Train Acc: 0.9905 | Val Loss: 0.0260 | Val Acc: 0.9916
Epoch 05/20 | Train Loss: 0.0270 | Train Acc: 0.9915 | Val Loss: 0.0258 | Val Acc: 0.9931
Epoch 06/20 | Train Loss: 0.0261 | Train Acc: 0.9918 | Val Loss: 0.0346 | Val Acc: 0.9889
Epoch 07/20 | Train Loss: 0.0246 | Train Acc: 0.9920 | Val Loss: 0.0265 | Val Acc: 0.9918
Epoch 08/20 | Train Loss: 0.0252 | Train Acc: 0.9919 | Val Loss: 0.0270 | Val Acc: 0.9925
Epoch 09/20 | Train Loss: 0.0235 | Train Acc: 0.9927 | Val Loss: 0.0284 | Val Acc: 0.9922
Epoch 10/20 | Train Loss: 0.0219 | Train Acc: 0.9932 | Val Loss: 0.0269 | Val Acc: 0.9921
Epoch 11/20 | Train Loss: 0.0221 | Train Acc: 0.9934 | Val Loss: 0.0370 | Val Acc: 0.9888
Epoch 12/20 | Train Loss: 0.0209 | Train Acc: 0.9939 | Val Loss: 0.0265 | Val Acc: 0.9928
Epoch 13/20 | Train Loss: 0.0219 | Train Acc: 0.9935 | Val Loss: 0.0346 | Val Acc: 0.9903
Epoch 14/20 | Train Loss: 0.0183 | Train Acc: 0.9945 | Val Loss: 0.0207 | Val Acc: 0.9934
Epoch 15/20 | Train Loss: 0.0188 | Train Acc: 0.9944 | Val Loss: 0.0419 | Val Acc: 0.9884
Epoch 16/20 | Train Loss: 0.0217 | Train Acc: 0.9932 | Val Loss: 0.0256 | Val Acc: 0.9924
Epoch 17/20 | Train Loss: 0.0187 | Train Acc: 0.9943 | Val Loss: 0.0203 | Val Acc: 0.9938
Epoch 18/20 | Train Loss: 0.0173 | Train Acc: 0.9944 | Val Loss: 0.0215 | Val Acc: 0.9946
Epoch 19/20 | Train Loss: 0.0188 | Train Acc: 0.9941 | Val Loss: 0.0206 | Val Acc: 0.9935
Epoch 20/20 | Train Loss: 0.0180 | Train Acc: 0.9944 | Val Loss: 0.0239 | Val Acc: 0.9932
