Epoch 01/20 | Train Loss: 0.1417 | Train Acc: 0.9605 | Val Loss: 0.0479 | Val Acc: 0.9849
Epoch 02/20 | Train Loss: 0.0454 | Train Acc: 0.9867 | Val Loss: 0.0417 | Val Acc: 0.9862
Epoch 03/20 | Train Loss: 0.0354 | Train Acc: 0.9892 | Val Loss: 0.0477 | Val Acc: 0.9858
Epoch 04/20 | Train Loss: 0.0303 | Train Acc: 0.9911 | Val Loss: 0.0266 | Val Acc: 0.9926
Epoch 05/20 | Train Loss: 0.0275 | Train Acc: 0.9912 | Val Loss: 0.0254 | Val Acc: 0.9927
Epoch 06/20 | Train Loss: 0.0271 | Train Acc: 0.9916 | Val Loss: 0.0250 | Val Acc: 0.9934
Epoch 07/20 | Train Loss: 0.0255 | Train Acc: 0.9920 | Val Loss: 0.0383 | Val Acc: 0.9896
Epoch 08/20 | Train Loss: 0.0235 | Train Acc: 0.9925 | Val Loss: 0.0235 | Val Acc: 0.9927
Epoch 09/20 | Train Loss: 0.0236 | Train Acc: 0.9930 | Val Loss: 0.0248 | Val Acc: 0.9938
Epoch 10/20 | Train Loss: 0.0216 | Train Acc: 0.9936 | Val Loss: 0.0258 | Val Acc: 0.9933
Epoch 11/20 | Train Loss: 0.0216 | Train Acc: 0.9932 | Val Loss: 0.0261 | Val Acc: 0.9915
Epoch 12/20 | Train Loss: 0.0206 | Train Acc: 0.9933 | Val Loss: 0.0268 | Val Acc: 0.9923
Epoch 13/20 | Train Loss: 0.0216 | Train Acc: 0.9931 | Val Loss: 0.0234 | Val Acc: 0.9938
Epoch 14/20 | Train Loss: 0.0213 | Train Acc: 0.9936 | Val Loss: 0.0275 | Val Acc: 0.9928
Epoch 15/20 | Train Loss: 0.0199 | Train Acc: 0.9938 | Val Loss: 0.0237 | Val Acc: 0.9936
Epoch 16/20 | Train Loss: 0.0182 | Train Acc: 0.9948 | Val Loss: 0.0313 | Val Acc: 0.9907
Epoch 17/20 | Train Loss: 0.0216 | Train Acc: 0.9936 | Val Loss: 0.0211 | Val Acc: 0.9938
Epoch 18/20 | Train Loss: 0.0182 | Train Acc: 0.9941 | Val Loss: 0.0295 | Val Acc: 0.9911
Epoch 19/20 | Train Loss: 0.0187 | Train Acc: 0.9939 | Val Loss: 0.0284 | Val Acc: 0.9928
Epoch 20/20 | Train Loss: 0.0181 | Train Acc: 0.9940 | Val Loss: 0.0214 | Val Acc: 0.9940
