Epoch 01/20 | Train Loss: 0.1286 | Train Acc: 0.9640 | Val Loss: 0.0349 | Val Acc: 0.9903
Epoch 02/20 | Train Loss: 0.0424 | Train Acc: 0.9872 | Val Loss: 0.0303 | Val Acc: 0.9906
Epoch 03/20 | Train Loss: 0.0385 | Train Acc: 0.9876 | Val Loss: 0.0488 | Val Acc: 0.9853
Epoch 04/20 | Train Loss: 0.0289 | Train Acc: 0.9913 | Val Loss: 0.0261 | Val Acc: 0.9923
Epoch 05/20 | Train Loss: 0.0249 | Train Acc: 0.9920 | Val Loss: 0.0241 | Val Acc: 0.9933
Epoch 06/20 | Train Loss: 0.0263 | Train Acc: 0.9919 | Val Loss: 0.0268 | Val Acc: 0.9928
Epoch 07/20 | Train Loss: 0.0250 | Train Acc: 0.9923 | Val Loss: 0.0281 | Val Acc: 0.9916
Epoch 08/20 | Train Loss: 0.0237 | Train Acc: 0.9924 | Val Loss: 0.0188 | Val Acc: 0.9942
Epoch 09/20 | Train Loss: 0.0249 | Train Acc: 0.9924 | Val Loss: 0.0306 | Val Acc: 0.9911
Epoch 10/20 | Train Loss: 0.0219 | Train Acc: 0.9933 | Val Loss: 0.0242 | Val Acc: 0.9938
Epoch 11/20 | Train Loss: 0.0218 | Train Acc: 0.9931 | Val Loss: 0.0264 | Val Acc: 0.9925
Epoch 12/20 | Train Loss: 0.0222 | Train Acc: 0.9933 | Val Loss: 0.0276 | Val Acc: 0.9914
Epoch 13/20 | Train Loss: 0.0207 | Train Acc: 0.9936 | Val Loss: 0.0206 | Val Acc: 0.9943
Epoch 14/20 | Train Loss: 0.0205 | Train Acc: 0.9933 | Val Loss: 0.0313 | Val Acc: 0.9909
Epoch 15/20 | Train Loss: 0.0215 | Train Acc: 0.9936 | Val Loss: 0.0417 | Val Acc: 0.9882
Epoch 16/20 | Train Loss: 0.0193 | Train Acc: 0.9944 | Val Loss: 0.0169 | Val Acc: 0.9954
Epoch 17/20 | Train Loss: 0.0198 | Train Acc: 0.9938 | Val Loss: 0.0458 | Val Acc: 0.9878
Epoch 18/20 | Train Loss: 0.0201 | Train Acc: 0.9934 | Val Loss: 0.0200 | Val Acc: 0.9932
Epoch 19/20 | Train Loss: 0.0179 | Train Acc: 0.9945 | Val Loss: 0.0283 | Val Acc: 0.9929
Epoch 20/20 | Train Loss: 0.0197 | Train Acc: 0.9937 | Val Loss: 0.0230 | Val Acc: 0.9932
