Epoch 01/20 | Train Loss: 0.1327 | Train Acc: 0.9625 | Val Loss: 0.0532 | Val Acc: 0.9837
Epoch 02/20 | Train Loss: 0.0480 | Train Acc: 0.9852 | Val Loss: 0.0433 | Val Acc: 0.9871
Epoch 03/20 | Train Loss: 0.0337 | Train Acc: 0.9899 | Val Loss: 0.0428 | Val Acc: 0.9873
Epoch 04/20 | Train Loss: 0.0306 | Train Acc: 0.9905 | Val Loss: 0.0195 | Val Acc: 0.9943
Epoch 05/20 | Train Loss: 0.0282 | Train Acc: 0.9913 | Val Loss: 0.0683 | Val Acc: 0.9798
Epoch 06/20 | Train Loss: 0.0251 | Train Acc: 0.9921 | Val Loss: 0.0273 | Val Acc: 0.9918
Epoch 07/20 | Train Loss: 0.0236 | Train Acc: 0.9930 | Val Loss: 0.0286 | Val Acc: 0.9911
Epoch 08/20 | Train Loss: 0.0246 | Train Acc: 0.9921 | Val Loss: 0.0255 | Val Acc: 0.9926
Epoch 09/20 | Train Loss: 0.0247 | Train Acc: 0.9923 | Val Loss: 0.0272 | Val Acc: 0.9923
Epoch 10/20 | Train Loss: 0.0232 | Train Acc: 0.9932 | Val Loss: 0.0187 | Val Acc: 0.9948
Epoch 11/20 | Train Loss: 0.0225 | Train Acc: 0.9929 | Val Loss: 0.0268 | Val Acc: 0.9923
Epoch 12/20 | Train Loss: 0.0204 | Train Acc: 0.9935 | Val Loss: 0.0297 | Val Acc: 0.9915
Epoch 13/20 | Train Loss: 0.0220 | Train Acc: 0.9925 | Val Loss: 0.0323 | Val Acc: 0.9899
Epoch 14/20 | Train Loss: 0.0195 | Train Acc: 0.9942 | Val Loss: 0.0296 | Val Acc: 0.9917
Epoch 15/20 | Train Loss: 0.0181 | Train Acc: 0.9943 | Val Loss: 0.0342 | Val Acc: 0.9896
Epoch 16/20 | Train Loss: 0.0187 | Train Acc: 0.9944 | Val Loss: 0.0332 | Val Acc: 0.9902
Epoch 17/20 | Train Loss: 0.0198 | Train Acc: 0.9939 | Val Loss: 0.0212 | Val Acc: 0.9938
Epoch 18/20 | Train Loss: 0.0185 | Train Acc: 0.9942 | Val Loss: 0.0229 | Val Acc: 0.9933
Epoch 19/20 | Train Loss: 0.0180 | Train Acc: 0.9944 | Val Loss: 0.0200 | Val Acc: 0.9943
Epoch 20/20 | Train Loss: 0.0172 | Train Acc: 0.9949 | Val Loss: 0.0183 | Val Acc: 0.9953
