Epoch 01/20 | Train Loss: 0.1063 | Train Acc: 0.9697 | Val Loss: 0.0600 | Val Acc: 0.9811
Epoch 02/20 | Train Loss: 0.0454 | Train Acc: 0.9861 | Val Loss: 0.0339 | Val Acc: 0.9895
Epoch 03/20 | Train Loss: 0.0370 | Train Acc: 0.9889 | Val Loss: 0.0303 | Val Acc: 0.9906
Epoch 04/20 | Train Loss: 0.0320 | Train Acc: 0.9901 | Val Loss: 0.0270 | Val Acc: 0.9921
Epoch 05/20 | Train Loss: 0.0316 | Train Acc: 0.9900 | Val Loss: 0.0384 | Val Acc: 0.9886
Epoch 06/20 | Train Loss: 0.0295 | Train Acc: 0.9912 | Val Loss: 0.0261 | Val Acc: 0.9919
Epoch 07/20 | Train Loss: 0.0254 | Train Acc: 0.9920 | Val Loss: 0.0341 | Val Acc: 0.9893
Epoch 08/20 | Train Loss: 0.0263 | Train Acc: 0.9916 | Val Loss: 0.0316 | Val Acc: 0.9902
Epoch 09/20 | Train Loss: 0.0262 | Train Acc: 0.9920 | Val Loss: 0.0252 | Val Acc: 0.9924
Epoch 10/20 | Train Loss: 0.0255 | Train Acc: 0.9923 | Val Loss: 0.0402 | Val Acc: 0.9874
Epoch 11/20 | Train Loss: 0.0254 | Train Acc: 0.9919 | Val Loss: 0.0291 | Val Acc: 0.9925
Epoch 12/20 | Train Loss: 0.0230 | Train Acc: 0.9927 | Val Loss: 0.0261 | Val Acc: 0.9924
Epoch 13/20 | Train Loss: 0.0218 | Train Acc: 0.9936 | Val Loss: 0.0219 | Val Acc: 0.9941
Epoch 14/20 | Train Loss: 0.0250 | Train Acc: 0.9923 | Val Loss: 0.0307 | Val Acc: 0.9904
Epoch 15/20 | Train Loss: 0.0215 | Train Acc: 0.9938 | Val Loss: 0.0250 | Val Acc: 0.9928
Epoch 16/20 | Train Loss: 0.0235 | Train Acc: 0.9927 | Val Loss: 0.0238 | Val Acc: 0.9935
Epoch 17/20 | Train Loss: 0.0210 | Train Acc: 0.9937 | Val Loss: 0.0515 | Val Acc: 0.9835
Epoch 18/20 | Train Loss: 0.0208 | Train Acc: 0.9938 | Val Loss: 0.0215 | Val Acc: 0.9939
Epoch 19/20 | Train Loss: 0.0203 | Train Acc: 0.9940 | Val Loss: 0.0270 | Val Acc: 0.9918
Epoch 20/20 | Train Loss: 0.0207 | Train Acc: 0.9934 | Val Loss: 0.0229 | Val Acc: 0.9941
