Epoch 01/20 | Train Loss: 0.1404 | Train Acc: 0.9667 | Val Loss: 0.0523 | Val Acc: 0.9849
Epoch 02/20 | Train Loss: 0.0427 | Train Acc: 0.9871 | Val Loss: 0.0294 | Val Acc: 0.9911
Epoch 03/20 | Train Loss: 0.0341 | Train Acc: 0.9896 | Val Loss: 0.0522 | Val Acc: 0.9844
Epoch 04/20 | Train Loss: 0.0297 | Train Acc: 0.9912 | Val Loss: 0.0322 | Val Acc: 0.9897
Epoch 05/20 | Train Loss: 0.0301 | Train Acc: 0.9912 | Val Loss: 0.0252 | Val Acc: 0.9932
Epoch 06/20 | Train Loss: 0.0272 | Train Acc: 0.9922 | Val Loss: 0.0292 | Val Acc: 0.9913
Epoch 07/20 | Train Loss: 0.0241 | Train Acc: 0.9922 | Val Loss: 0.0227 | Val Acc: 0.9934
Epoch 08/20 | Train Loss: 0.0228 | Train Acc: 0.9929 | Val Loss: 0.0236 | Val Acc: 0.9926
Epoch 09/20 | Train Loss: 0.0222 | Train Acc: 0.9931 | Val Loss: 0.0251 | Val Acc: 0.9936
Epoch 10/20 | Train Loss: 0.0227 | Train Acc: 0.9926 | Val Loss: 0.0322 | Val Acc: 0.9911
Epoch 11/20 | Train Loss: 0.0211 | Train Acc: 0.9937 | Val Loss: 0.0255 | Val Acc: 0.9927
Epoch 12/20 | Train Loss: 0.0215 | Train Acc: 0.9937 | Val Loss: 0.0225 | Val Acc: 0.9924
Epoch 13/20 | Train Loss: 0.0204 | Train Acc: 0.9936 | Val Loss: 0.0254 | Val Acc: 0.9936
Epoch 14/20 | Train Loss: 0.0182 | Train Acc: 0.9943 | Val Loss: 0.0206 | Val Acc: 0.9934
Epoch 15/20 | Train Loss: 0.0202 | Train Acc: 0.9937 | Val Loss: 0.0371 | Val Acc: 0.9884
Epoch 16/20 | Train Loss: 0.0198 | Train Acc: 0.9938 | Val Loss: 0.0211 | Val Acc: 0.9936
Epoch 17/20 | Train Loss: 0.0181 | Train Acc: 0.9946 | Val Loss: 0.0267 | Val Acc: 0.9912
Epoch 18/20 | Train Loss: 0.0176 | Train Acc: 0.9951 | Val Loss: 0.0246 | Val Acc: 0.9936
Epoch 19/20 | Train Loss: 0.0180 | Train Acc: 0.9943 | Val Loss: 0.0261 | Val Acc: 0.9931
Epoch 20/20 | Train Loss: 0.0168 | Train Acc: 0.9949 | Val Loss: 0.0241 | Val Acc: 0.9928
